"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Margareta Cederfelt","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Ordförande, Ledamot","False","True","True","False"
"Alexander Christiansson","man","SD","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Dzenan Cisija","man","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Nooshi Dadgostar","kvinna","V","Partiledare, Riksdagsledamot, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Mikael Dahlqvist","man","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Mikael Damberg","man","S","Riksdagsledamot, Vice ordförande, Ledamot","False","False","True","True"
"Mikael Damsgaard","man","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Malin Danielsson","kvinna","L","Suppleant, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Lorena Delgado Varas","kvinna","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Muharrem Demirok","man","C","Partiledare, Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Catarina Deremar","kvinna","C","Kvittningsperson, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Adnan Dibrani","man","S","Suppleant, Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Dennis Dioukarev","man","SD","Riksdagsledamot, Ledamot, Ledamot, Ledamot","False","False","True","False"
"Ida Drougge","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ida Ekeroth Clausson","kvinna","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Hans Eklind","man","KD","Ledamot, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Förste vice gruppledare","False","False","True","False"
"Louise Eklund","kvinna","L","Förste vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Staffan Eklöf","man","SD","Riksdagsledamot, Ledamot, Suppleant, Ordförande, Ledamot","False","True","True","False"
"Hans Ekström","man","S","Vice ordförande, Riksdagsledamot, Ledamot, Ledamot, Ledamot","False","False","True","True"
"Jamal El-Haj","man","-","Riksdagsledamot","False","False","True","False"
"Torsten Elofsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
